step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
30,2.379,2.1695628515785588,2.1271550406525206,0.24,2.5000803453253524,2.1709990672846082,0.3425672146436646,0.16846355717817868,0.02633104563656867,4.300467113286256e-05,5.502204864259814e-05,6.9525386036558384e-06,2.504270708435443,2.529370114005581,3.7086233696486657,3.480864317512828,0.5035120505094528,0.20542766366153956,1.0000000013969839,0.016282493004634562,-0.006391235890082545,-8.298084139823913e-11,0.24,0.04339125703157118,,,,,,,,,,,,,,,,,,,,,,
30,2.384,,,,,,,,,,,,,,,,,,,,,,,,0.02009650133550167,0.47054598927497865,0.9410908341407775,0.00761904761904762,-0.08130137296393514,0.05510821434048315,96.53667863210042,0.08436484138170879,0.5579427083333334,1.0,,,,,,,,,,,,
31,2.45,2.1255571683889576,2.1353984206488756,0.2,2.5750827556851132,2.247996579175875,0.39489809948453475,0.16772317128894415,0.027394443267008798,4.532777795926266e-05,5.8310110619369014e-05,6.380779978943563e-06,2.513626623664409,2.505169286678563,3.4377443563671024,3.018409401082124,0.5060315418243408,0.22653487790375948,0.9999999907612801,0.016859974343819063,-0.006848830918297913,-5.774199962615968e-11,0.2,0.04251114336777915,,,,,,,,,,,,,,,,,,,,,,
31,2.453,,,,,,,,,,,,,,,,,,,,,,,,0.03992172908037901,0.47803552746772765,0.9182616949081421,0.005714285714285714,,,,,,,,,,,,,,,,,,
32,2.515,2.0401507739657556,2.1256074797885676,0.14,2.6523352383556666,2.169129818020644,0.3223797518119854,0.18597305640983555,0.03190366632542781,3.568069026211973e-05,4.4674069655163534e-05,8.700552082988292e-06,2.5149992000424004,2.490385149421733,3.281889706100348,2.8350995759248248,0.49920831739902494,0.19164380989968777,0.9999999923817814,0.016268473635154827,-0.008215458099774099,-5.606561899185181e-11,0.14,0.04080301547931512,,,,,,,,,,,,,,,,,,,,,,
32,2.522,,,,,,,,,,,,,,,,,,,,,,,,-0.006924525462090969,0.49660578966140745,0.9496234059333801,0.00761904761904762,,,,,,,,,,,,,,,,,,
33,2.59,1.9855765038269046,2.1152026568198807,0.04,2.7319052955063365,2.283429041042716,0.3979405800128988,0.18455423509539975,0.029838564663643513,4.495401798209224e-05,5.754103476444782e-05,7.192967635025514e-06,2.509077587182368,2.503160777643827,3.5336052953132584,3.1252123299318653,0.5050281596183777,0.2293427550792694,0.9999999966658651,0.017125717807820368,-0.007914187651933587,-7.934868335723879e-11,0.04,0.0397115300765381,,,,,,,,,,,,,,,,,,,,,,
33,2.595,,,,,,,,,,,,,,,,,,,,,,,,0.042861097306013105,0.48463380336761475,0.9355127334594726,0.00380952380952381,,,,,,,,,,,,,,,,,,
34,2.657,1.9024183095334695,2.1069437598193543,0.08,2.8138624543715265,2.162231931358924,0.3101691178134916,0.19085664144073283,0.03173013791389303,2.924442516823598e-05,3.6837322062506994e-05,6.465734485422939e-06,2.501101190116518,2.4845160911808932,3.1679000698826143,2.5301242906472785,0.5073719072341919,0.1896802919358015,1.0000000069662929,0.016216739485191933,-0.008668373179411075,-1.1511147022247316e-10,0.08,0.03804836619066939,,,,,,,,,,,,,,,,,,,,,,
34,2.663,,,,,,,,,,,,,,,,,,,,,,,,0.008101980108767748,0.47769113183021544,0.9401037216186523,0.001904761904761905,,,,,,,,,,,,,,,,,,
